index,dt_ms
454,30.373814
455,31.037107
456,30.895774
457,30.863819
458,31.559218
459,30.572591
460,30.819001
461,31.890741
462,30.417491
463,30.712125
464,31.725265
465,30.279673
466,31.399783
467,30.299255
468,31.462547
469,31.483445
470,31.418672
471,30.355785
472,31.754068
473,30.713861
474,31.429407
475,30.410179
476,31.554722
477,30.397689
478,31.284755
479,31.453972
480,30.582996
481,30.682569
482,31.741925
483,30.543690
484,31.487400
485,30.319603
486,32.142203
487,29.739530
488,31.450026
489,31.123142
490,30.748682
491,30.767537
492,30.613918
493,30.728177
494,31.862923
495,31.093223
496,30.318214
497,31.401160
498,31.546825
499,31.172156
