taxel,zone,zone_name,row,col,mu,sigma,own_rise,cross_rise,status
158,2,Meñique — Palmar,6,5,0.000,0.000,928.0,0.0,ok
159,2,Meñique — Palmar,6,6,0.000,0.000,1167.0,0.0,ok
160,2,Meñique — Palmar,6,7,0.000,0.000,1257.0,0.0,ok
161,2,Meñique — Palmar,7,0,0.000,0.000,937.0,0.0,ok
162,2,Meñique — Palmar,7,1,0.000,0.000,15.0,0.0,stuck_low
163,2,Meñique — Palmar,7,2,0.000,0.000,856.0,0.0,ok
164,2,Meñique — Palmar,7,3,0.000,0.000,935.0,0.0,ok
165,2,Meñique — Palmar,7,4,0.000,0.000,276.0,0.0,ok
166,2,Meñique — Palmar,7,5,0.000,0.000,711.0,0.0,ok
167,2,Meñique — Palmar,7,6,0.000,0.000,1161.0,0.0,ok
168,2,Meñique — Palmar,7,7,28.223,1.631,729.2,14.0,noisy
169,2,Meñique — Palmar,8,0,0.000,0.000,580.0,0.0,ok
170,2,Meñique — Palmar,8,1,0.000,0.000,587.0,0.0,ok
171,2,Meñique — Palmar,8,2,0.000,0.000,729.0,0.0,ok
172,2,Meñique — Palmar,8,3,0.000,0.000,752.0,0.0,ok
173,2,Meñique — Palmar,8,4,0.000,0.000,869.0,0.0,ok
174,2,Meñique — Palmar,8,5,0.000,0.000,937.0,0.0,ok
175,2,Meñique — Palmar,8,6,0.000,0.000,500.0,0.0,ok
176,2,Meñique — Palmar,8,7,0.000,0.000,1283.0,0.0,ok
177,2,Meñique — Palmar,9,0,0.000,0.000,596.0,0.0,ok
178,2,Meñique — Palmar,9,1,0.000,0.000,557.0,0.0,ok
179,2,Meñique — Palmar,9,2,0.000,0.000,731.0,0.0,ok
180,2,Meñique — Palmar,9,3,0.000,0.000,755.0,0.0,ok
181,2,Meñique — Palmar,9,4,0.000,0.000,1103.0,0.0,ok
182,2,Meñique — Palmar,9,5,0.000,0.000,1118.0,0.0,ok
183,2,Meñique — Palmar,9,6,0.000,0.000,950.0,0.0,ok
184,2,Meñique — Palmar,9,7,0.000,0.000,1058.0,0.0,ok
185,3,Anular — Punta,0,0,0.000,0.000,2152.0,0.0,ok
186,3,Anular — Punta,0,1,0.000,0.000,2547.0,0.0,ok
187,3,Anular — Punta,0,2,0.000,0.000,2825.0,0.0,ok
188,3,Anular — Punta,1,0,0.000,0.000,2886.0,0.0,ok
189,3,Anular — Punta,1,1,0.000,0.000,2604.0,0.0,ok
190,3,Anular — Punta,1,2,0.000,0.000,1998.0,0.0,ok
191,3,Anular — Punta,2,0,181.707,56.373,-30.8,1.8,dead
192,3,Anular — Punta,2,1,363.840,7.094,-348.3,4.7,dead
193,3,Anular — Punta,2,2,0.000,0.000,0.0,0.0,stuck_low
194,4,Anular — Distal,0,0,0.000,0.000,166.0,0.0,ok
195,4,Anular — Distal,0,1,0.000,0.000,259.0,0.0,ok
196,4,Anular — Distal,0,2,0.000,0.000,514.0,0.0,ok
197,4,Anular — Distal,0,3,0.000,0.000,579.0,0.0,ok
198,4,Anular — Distal,0,4,0.000,0.000,494.0,0.0,ok
