n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
0,2,cerrar,268,266,1499.0,1501,2.0,810,877,67,13/2,14/1,42,0
9,5,cerrar,268,263,1499,1506,7,851,1133,282,10/1,17/1,42,0
2,2,cerrar,268,266,1498.0,1501.0,3.0,856,888,32,8/1,8/0,42,0
4,3,abrir,268,271,1498,1491.0,-7.0,836,638,-198,10/2,14/3,42,0
5,2,abrir,268,270,1499,1492,-7,785,619,-166,8/5,14/7,42,0
0,2,abrir,268,270,1499,1494,-5,786,651,-135,4/0,8/1,42,0
1,2,cerrar,268,266,1498.0,1501,3.0,742,867,125,6/1,5/0,42,0
3,3,cerrar,268,265,1498,1501,3,834,936,102,9/1,12/0,42,0
4,1,cerrar,268,267,1498.0,1501,3.0,871,879,8,13/1,10/1,42,0
6,3,cerrar,268,265,1498.0,1502.0,4.0,851,920,69,9/1,18/2,42,0
6,1,cerrar,268,267,1499,1499,0,865,871,6,19/3,13/2,42,0
9,1,abrir,268,269,1499.0,1496.0,-3.0,861,803,-58,8/1,11/1,42,0
9,1,cerrar,268,267,1498.0,1499.5,1.5,820,830,10,6/1,4/2,42,0
7,3,abrir,268,271,1499.0,1492,-7.0,821,666,-155,9/2,18/1,44,0
2,5,abrir,268,273,1499.0,1489,-10.0,782,565,-217,19/0,14/0,42,0
3,5,abrir,268,273,1499.0,1489,-10.0,788,566,-222,4/1,10/0,42,0
0,5,abrir,268,273,1499.0,1489.0,-10.0,789,566,-223,8/1,11/4,42,0
4,2,abrir,268,270,1499.0,1492.0,-7.0,794,636,-158,11/1,17/7,42,0
8,3,abrir,268,271,1499.0,1490.0,-9.0,783,590,-193,7/0,21/5,42,0
2,2,abrir,268,270,1499,1491.0,-8.0,787,642,-145,8/0,15/4,42,0
2,1,abrir,268,269,1499.0,1494.0,-5.0,791,750,-41,7/1,16/6,42,0
7,5,cerrar,268,263,1499.0,1506.0,7.0,796,1114,318,7/1,5/0,42,0
6,2,abrir,268,270,1495,1492,-3,835,675,-160,13/7,16/0,42,0
7,1,abrir,268,269,1498,1495.0,-3.0,766,734,-32,10/0,19/5,42,0
4,5,cerrar,268,263,1499,1505,6,765,1098,333,12/0,13/0,42,0
7,2,cerrar,268,266,1498.0,1501,3.0,858,898,40,8/0,12/0,42,0
5,3,cerrar,268,265,1500.0,1501.0,1.0,836,910,74,11/1,9/0,42,0
1,5,cerrar,268,263,1499.0,1506,7.0,831,1082,251,5/2,8/0,42,0
8,2,abrir,268,270,1498.0,1492,-6.0,863,687,-176,7/0,17/3,42,0
1,3,abrir,268,271,1498,1491,-7,777,641,-136,9/1,22/1,42,0
2,5,cerrar,268,263,1499.0,1506,7.0,771,1095,324,8/1,8/0,42,0
5,5,cerrar,268,263,1496,1506.0,10.0,859,1086,227,15/8,13/0,42,0
3,2,abrir,268,270,1496.0,1492.0,-4.0,875,682,-193,16/4,12/2,42,0
5,1,cerrar,268,267,1499,1499,0,778,793,15,13/1,9/0,42,0
3,3,abrir,268,271,1499,1491,-8,795,645,-150,11/0,13/1,42,0
9,3,cerrar,268,265,1498,1501.0,3.0,765,903,138,13/1,7/1,42,0
