t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
3.632742,1,0,95,58,92,98,326,1557,0,0,0,0,49,-6,71
3.646260,0,0,95,58,92,98,326,1557,0,0,0,0,49,-6,71
3.651156,0,0,95,58,92,98,326,1557,0,0,0,0,49,-6,71
3.660503,0,1,95,58,92,98,326,1557,0,0,0,0,48,-6,58
3.665662,1,0,95,58,92,98,331,1557,0,0,0,0,48,-6,58
3.679409,0,0,95,58,92,98,331,1557,0,0,0,0,48,-6,58
3.689739,0,1,95,58,92,98,331,1557,0,0,-1,0,48,-6,58
3.694746,0,0,95,58,92,98,331,1557,0,0,-1,0,48,-6,58
3.708465,0,0,95,58,92,98,331,1557,0,0,-1,0,48,-6,58
3.714298,0,0,95,58,92,98,331,1557,0,0,-1,0,48,-6,61
3.721230,1,1,95,58,92,98,336,1557,0,0,-1,0,49,-6,61
3.725813,0,0,95,58,92,98,336,1557,0,0,-1,0,49,-6,61
3.739392,0,0,95,58,92,98,336,1557,0,0,-1,0,49,-6,61
3.743826,0,1,95,58,92,98,336,1557,0,0,0,0,49,-6,61
3.751990,1,0,95,58,92,98,339,1557,0,0,0,0,49,-6,60
3.757040,0,0,95,58,92,98,339,1557,0,0,0,0,49,-6,60
3.770517,0,0,95,58,92,98,339,1557,0,0,0,0,49,-6,60
3.774817,0,0,95,58,92,98,339,1557,0,0,0,0,49,-6,56
3.783283,1,0,95,58,92,98,341,1557,0,0,0,0,49,-6,56
3.788316,0,0,95,58,92,98,341,1557,0,0,0,0,49,-6,56
3.802843,0,0,95,58,92,98,341,1557,0,0,0,0,49,-6,56
3.812460,1,0,95,58,92,98,343,1557,0,0,0,0,49,-6,62
3.817468,0,0,95,58,92,98,343,1557,0,0,0,0,49,-6,62
3.822450,0,0,95,58,92,98,343,1557,0,0,0,0,49,-6,62
3.834266,0,0,95,58,92,98,343,1557,0,0,0,0,49,-6,62
3.844396,0,0,95,58,92,98,343,1557,0,0,0,0,49,-6,62
3.849461,0,0,95,58,92,98,343,1557,0,0,0,0,49,-6,62
3.863393,0,0,95,58,92,98,343,1557,0,0,0,0,49,-6,62
3.868358,1,0,95,58,92,98,347,1557,0,0,0,0,49,-6,82
3.876230,0,0,95,58,92,98,347,1557,0,0,0,0,49,-6,82
3.880693,0,0,95,58,92,98,347,1557,0,0,0,0,49,-6,82
3.884775,0,0,95,58,92,98,347,1557,0,0,0,0,49,-6,82
3.896342,0,0,95,58,92,98,347,1557,0,0,0,0,49,-6,66
3.905639,1,0,95,58,92,98,348,1557,0,0,0,0,49,-6,66
3.909827,0,0,95,58,92,98,348,1557,0,0,0,0,49,-6,66
3.914437,0,0,95,58,92,98,348,1557,0,0,0,0,49,-6,66
3.926490,0,0,95,58,92,98,348,1557,0,0,0,0,49,-6,80
3.936403,1,1,95,58,92,98,350,1557,0,0,0,0,48,-6,80
3.940696,0,0,95,58,92,98,350,1557,0,0,0,0,48,-6,80
3.945224,0,0,95,58,92,98,350,1557,0,0,0,0,48,-6,80
3.957436,0,1,95,58,92,98,350,1557,0,0,0,0,49,-6,89
3.961837,0,1,95,58,92,98,350,1557,0,0,0,0,49,-7,89
3.969977,0,0,95,58,92,98,350,1557,0,0,0,0,49,-7,89
3.975000,0,0,95,58,92,98,350,1557,0,0,0,0,49,-7,89
3.988527,0,0,95,58,92,98,350,1557,0,0,0,0,49,-7,34
3.992775,1,1,95,58,92,98,352,1557,0,0,0,0,49,-6,34
4.000238,0,0,95,58,92,98,352,1557,0,0,0,0,49,-6,34
4.004807,0,0,95,58,92,98,352,1557,0,0,0,0,49,-6,34
4.018374,0,0,95,58,92,98,352,1557,0,0,0,0,49,-6,82
4.023453,1,0,95,58,92,98,356,1557,0,0,0,0,49,-6,82
4.031015,0,0,95,58,92,98,356,1557,0,0,0,0,49,-6,82
4.035616,0,0,95,58,92,98,356,1557,0,0,0,0,49,-6,82
4.039901,1,0,95,58,92,98,359,1557,0,0,0,0,49,-6,78
4.051224,0,0,95,58,92,98,359,1557,0,0,0,0,49,-6,78
4.061026,0,0,95,58,92,98,359,1557,0,0,0,0,49,-6,78
4.065965,0,1,95,58,92,98,359,1557,-1,0,0,0,49,-6,78
4.071010,0,0,95,58,92,98,359,1557,-1,0,0,0,49,-6,69
4.082628,1,1,95,58,92,98,361,1557,-1,0,0,0,49,-7,69
4.092923,0,0,95,58,92,98,361,1557,-1,0,0,0,49,-7,69
4.098487,0,1,95,58,92,98,361,1557,0,0,0,0,49,-7,69
4.112319,1,0,95,58,92,98,364,1557,0,0,0,0,49,-7,53
4.122460,0,0,95,58,92,98,364,1557,0,0,0,0,49,-7,53
4.127527,0,0,95,58,92,98,364,1557,0,0,0,0,49,-7,53
