n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
7,5,cerrar,249,244,1527,1540.0,13.0,923,1356,433,14/1,5/2,38,0
6,2,abrir,249,251,1529,1529,0,1092,1091,-1,11/3,8/3,38,0
7,1,abrir,249,250,1529,1529,0,1090,1089,-1,11/8,5/2,38,0
4,5,cerrar,249,244,1529.0,1539.0,10.0,1089,1291,202,12/2,15/2,38,0
7,2,cerrar,249,247,1531.0,1534.0,3.0,1146,1175,29,13/8,13/2,38,0
5,3,cerrar,249,246,1529.0,1533.0,4.0,1069,1192,123,13/3,5/8,38,0
1,5,cerrar,249,244,1529.0,1539.0,10.0,1084,1274,190,8/1,7/5,38,0
8,2,abrir,249,251,1529,1528.0,-1.0,1093,960,-133,7/2,15/2,38,0
1,3,abrir,249,252,1531,1526.0,-5.0,993,808,-185,10/3,11/2,38,0
2,5,cerrar,249,244,1528.0,1539.0,11.0,851,1311,460,12/5,9/2,38,0
5,5,cerrar,249,244,1529,1539,10,1092,1280,188,5/5,8/3,38,0
3,2,abrir,249,251,1528,1528.0,0.0,1052,1051,-1,16/2,12/3,38,0
5,1,cerrar,249,248,1529.0,1529.0,0.0,1059,1056,-4,13/2,6/4,38,0
3,3,abrir,249,252,1529.0,1526,-3.0,1054,820,-234,6/8,16/7,38,0
9,3,cerrar,249,246,1531.0,1540,9.0,882,1289,407,12/4,7/2,38,0
