n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
5,2,abrir,290,292,1462.0,1459,-3.0,136,115,-22,15/0,7/0,38,0
8,3,abrir,290,293,1464,1458.0,-6.0,152,103,-49,13/2,13/0,36,0
2,10,abrir,290,300,1464,1445.0,-19.0,145,3,-142,13/0,15/0,36,0
3,1,cerrar,290,289,1462,1464,2,149,168,19,8/1,8/0,36,0
5,10,abrir,290,300,1464,1445.0,-19.0,166,3,-163,11/0,15/0,36,0
6,3,abrir,290,293,1462.0,1458.0,-4.0,147,102,-45,12/0,9/0,36,0
0,10,abrir,290,300,1463,1445,-18,147,4,-143,11/1,6/0,38,0
6,2,cerrar,290,288,1463,1464.0,1.0,151,179,28,11/1,11/0,38,0
0,3,cerrar,290,287,1464.0,1467,3.0,177,254,77,8/0,5/0,38,0
5,3,abrir,290,293,1464.0,1459.0,-5.0,221,83,-138,14/0,16/0,36,0
9,10,cerrar,290,280,1464.0,1478.0,14.0,125,448,323,7/0,14/1,38,0
5,5,abrir,290,295,1464.0,1452.0,-12.0,154,8,-146,9/0,9/0,36,0
1,5,abrir,290,295,1462.0,1453.0,-9.0,126,12,-114,11/1,14/0,36,0
0,5,cerrar,290,285,1463,1471.0,8.0,131,297,166,12/0,13/0,36,0
2,3,cerrar,290,287,1464.0,1469.0,5.0,217,257,40,6/0,9/0,36,0
9,1,cerrar,290,289,1462,1466.0,4.0,190,214,24,8/0,12/0,38,0
2,10,cerrar,290,280,1462.0,1478,16.0,170,444,274,8/0,13/2,36,0
9,2,abrir,290,292,1464,1460,-4,164,92,-72,14/0,15/0,38,0
8,1,abrir,290,291,1460,1461,1,98,116,18,16/0,7/8,36,0
7,5,abrir,290,295,1462,1453,-9,116,8,-108,16/0,15/0,38,0
8,5,cerrar,290,285,1461,1470.0,9.0,122,279,157,14/5,19/0,36,0
2,2,abrir,290,292,1464.0,1460,-4.0,206,150,-56,17/1,15/0,36,0
9,5,abrir,290,295,1460.0,1453,-7.0,149,10,-139,4/0,13/0,38,0
2,1,abrir,290,291,1462.0,1462.0,0.0,119,117,-2,13/0,9/0,38,0
5,10,cerrar,290,280,1462,1476.0,14.0,116,433,317,8/0,13/1,38,0
6,2,abrir,290,292,1464.0,1460,-4.0,167,97,-70,16/0,12/0,38,0
7,1,abrir,290,291,1460,1460,0,100,107,7,6/0,17/3,38,0
4,5,cerrar,290,285,1462.0,1470.0,8.0,103,227,124,16/0,12/0,38,0
7,2,cerrar,290,288,1463.0,1465,2.0,162,169,7,10/0,15/1,38,0
4,5,abrir,290,295,1462,1453,-9,145,8,-137,15/0,11/0,38,0
5,3,cerrar,290,287,1462.0,1466.0,4.0,113,221,108,5/0,6/0,38,0
1,5,cerrar,290,285,1464.0,1470.0,6.0,204,275,71,9/0,12/0,38,0
8,2,abrir,290,292,1462,1460,-2,208,135,-73,9/0,17/2,38,0
1,3,abrir,290,293,1460.0,1460.0,0.0,145,145,0,16/0,10/0,36,0
2,5,cerrar,290,285,1465,1469.0,4.0,168,275,107,7/0,12/3,38,0
5,5,cerrar,290,285,1463,1471,8,212,278,66,14/0,14/1,38,0
3,2,abrir,290,292,1463,1459.0,-4.0,210,134,-76,15/0,12/0,38,0
5,1,cerrar,290,289,1461.0,1465,4.0,142,170,28,6/2,13/0,38,0
3,3,abrir,290,293,1465,1459,-6,169,95,-74,13/0,15/0,38,0
7,10,abrir,290,300,1464.0,1446,-18.0,135,0,-135,6/0,2/2,38,0
9,3,cerrar,290,287,1462.0,1465.0,3.0,133,245,112,7/5,7/1,38,0
