n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
7,6,cerrar,276,270,464,22.6,90,549,85,119.9,5,,,,,,1578.9,716,167,-269.2,75,1481,1485,44,0
8,6,cerrar,278,272,452,7.0,28,536,84,63.7,6,0.0,63.7,63.7,,,1551.7,611,75,-91.9,73,1482.0,1484,44,0
4,6,cerrar,275,269,406,28.8,115,580,174,109.1,3,0.0,78.2,109.1,62.7,46.4,1565.8,793,213,-439.7,82,1488,1485,44,0
3,3,abrir,275,278,443,10.4,41,372,-70,90.4,6,23.4,30.0,113.8,0.0,125.7,30.0,369,-4,-21.8,110,1484.0,1480,44,0
5,6,cerrar,275,269,388,7.1,28,637,249,110.7,6,60.0,110.7,170.7,80.8,89.9,1566.9,776,139,-216.7,94,1488,1489,44,0
2,3,cerrar,275,272,441,8.4,34,502,61,91.6,4,0.0,91.6,91.6,,,1584.9,563,61,-91.3,70,1485.0,1484,44,0
1,6,abrir,275,281,424,24.2,97,261,-163,88.9,5,0.0,57.9,88.9,42.4,46.5,57.9,250,-11,3.8,70,1487.0,1476,44,0
9,6,cerrar,275,269,393,38.8,155,632,239,130.2,7,0.0,109.6,130.2,99.3,30.9,109.6,769,137,-170.2,97,1488.0,1489,44,0
9,3,cerrar,276,273,476,2.6,15,477,1,65.6,1,,,,,,1580.1,543,66,-103.7,103,1484,1483,44,0
7,6,abrir,276,282,462,0.3,15,258,-204,73.1,2,24.8,73.1,97.9,60.6,37.2,135.6,245,-12,3.2,97,1483,1476,44,0
5,3,abrir,275,278,438,29.3,117,367,-71,,,,,,,,,,,,98,1488.0,1479,44,0
6,3,abrir,275,278,470,11.5,46,374,-96,94.6,4,421.4,2.0,516.0,0.0,771.1,393.7,369,-5,-24.8,102,1485.0,1479,44,0
1,6,cerrar,275,269,450,2.8,15,628,178,124.5,3,0.0,124.5,124.5,,,1550.8,763,134,-237.9,91,1485,1489,44,0
5,6,abrir,276,282,469,5.0,20,262,-207,62.8,3,59.6,90.9,122.4,75.2,47.2,153.1,251,-11,1.3,94,1483.0,1476,44,0
0,6,cerrar,275,269,445,9.8,39,627,182,112.0,4,60.5,112.0,172.5,81.8,90.7,1565.4,760,133,-86.6,90,1485,1490,44,0
1,3,abrir,276,279,470,1.3,15,347,-123,81.4,2,0.0,81.4,81.4,,,81.4,347,0,-0.7,56,1483.0,1480,44,0
3,6,abrir,275,281,433,0.5,15,257,-176,54.6,1,54.7,85.0,109.4,72.9,36.5,109.4,247,-10,0.5,75,1487.0,1476,46,0
4,6,abrir,275,281,437,12.6,50,256,-181,45.4,3,29.6,45.4,75.0,30.5,44.5,75.0,251,-5,2.5,90,1487,1476,44,0
0,6,abrir,275,281,425,15.7,63,258,-167,51.8,4,29.5,51.8,81.3,37.1,44.2,81.3,254,-4,0.7,66,1487.0,1476,44,0
7,3,abrir,275,278,422,14.8,59,363,-59,1763.9,65,,,,,,96.9,359,-4,-11.6,72,1487.0,1479,44,0
4,3,abrir,275,278,434,2.3,15,426,-8,,,,,,,,,,,,67,1486,1483,44,0
0,3,abrir,275,278,447,0.9,15,372,-75,51.0,1,32.1,51.0,83.1,35.0,48.2,887.1,369,-3,-11.8,118,1487.0,1479,44,0
6,6,abrir,275,281,445,1.2,15,257,-188,42.3,1,24.9,67.2,67.2,,,97.7,254,-3,0.7,80,1487,1476,44,0
