n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
1,7,cerrar,286,279,238,0.5,15,446,208,36.4,1,61.1,77.4,97.5,67.4,30.2,186.0,466,20,-2.2,90,1469.0,1478,42,0
5,7,abrir,288,295,223,2004.7,8019,9,-214,,,,,,,,,,,,49,1465,1455,44,0
0,7,cerrar,286,279,254,0.5,15,453,199,36.8,0,89.0,66.0,125.8,36.2,89.7,156.7,468,15,-1.9,58,1468,1479,42,0
1,4,abrir,288,292,225,0.5,15,122,-103,120.9,3,0.0,120.9,120.9,,,120.9,119,-3,0.5,101,1464,1461,42,0
3,7,abrir,284,291,253,0.5,15,125,-128,67.1,3,29.5,67.1,96.7,52.4,44.3,96.7,125,0,-0.2,84,1471.0,1461,42,0
4,7,abrir,284,291,254,0.5,15,133,-121,111.4,3,0.0,111.4,111.4,,,111.4,133,0,0.2,85,1471.0,1461,42,0
0,7,abrir,284,291,243,0.5,15,125,-118,36.1,2,60.4,65.6,96.5,50.2,46.3,96.5,125,0,0.0,63,1471,1461,42,0
7,4,abrir,284,288,254,0.5,15,214,-40,51.6,2,28.1,51.6,79.6,37.5,42.1,79.6,199,-15,2.2,65,1471.0,1465,42,0
4,4,abrir,284,288,273,0.5,15,215,-58,36.3,1,28.7,36.3,65.0,22.0,43.0,65.0,200,-15,-0.5,67,1473,1465,42,0
0,4,abrir,284,288,275,0.0,15,218,-56,38.2,0,28.2,38.2,66.3,24.1,42.2,66.3,202,-16,29.9,69,1473,1465,42,0
6,7,abrir,284,291,277,0.4,15,136,-141,62.8,2,91.2,153.9,153.9,,,153.9,135,-1,0.1,88,1473.0,1461,42,0
