t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
34.816548,0,1,93,60,96,1360,245,50,0,1,0,136,-1,-3,133
34.830916,0,0,93,60,96,1360,245,50,0,1,0,136,-1,-3,133
34.840740,0,0,93,60,96,1360,245,50,0,1,0,136,-1,-3,133
34.845740,0,0,93,60,96,1360,245,50,0,1,0,136,-1,-3,18
34.850749,1,0,93,60,96,1362,245,50,0,1,0,136,-1,-3,18
34.861803,0,0,93,60,96,1362,245,50,0,1,0,136,-1,-3,18
34.871740,0,1,93,60,96,1362,245,50,1,1,0,136,-1,-3,18
34.876335,0,1,93,60,96,1362,245,50,1,1,0,129,-1,-3,0
34.880567,0,0,93,60,96,1362,245,50,1,1,0,129,-1,-3,0
34.893346,0,0,93,60,96,1362,245,50,1,1,0,129,-1,-3,0
34.903016,0,1,93,60,96,1362,245,50,0,1,0,129,-1,-3,0
34.907756,0,1,93,60,96,1362,245,50,0,1,0,127,-1,-3,0
34.912687,0,0,93,60,96,1362,245,50,0,1,0,127,-1,-3,0
34.924599,0,0,93,60,96,1362,245,50,0,1,0,127,-1,-3,0
34.934648,0,0,93,60,96,1362,245,50,0,1,0,127,-1,-3,0
34.939299,1,1,93,60,96,1361,245,50,0,1,0,125,-1,-3,0
34.944397,0,0,93,60,96,1361,245,50,0,1,0,125,-1,-3,0
34.956228,0,0,93,60,96,1361,245,50,0,1,0,125,-1,-3,0
34.967227,0,1,93,60,96,1361,245,50,1,1,0,124,-1,-3,0
34.972581,0,1,93,60,96,1361,245,50,1,1,0,124,-2,-3,0
34.986794,0,0,93,60,96,1361,245,50,1,1,0,124,-2,-3,0
34.996961,0,0,93,60,96,1361,245,50,1,1,0,124,-2,-3,0
35.001987,0,1,93,60,96,1361,245,50,1,1,0,123,-1,-3,0
35.004992,0,0,93,60,96,1361,245,50,1,1,0,123,-1,-3,0
35.017561,0,0,93,60,96,1361,245,50,1,1,0,123,-1,-3,0
35.027903,0,0,93,60,96,1361,245,50,1,1,0,123,-1,-3,0
35.032956,0,0,93,60,96,1361,245,50,1,1,0,123,-1,-3,0
35.046535,0,0,93,60,96,1361,245,50,1,1,0,123,-1,-3,0
35.051464,0,1,93,60,96,1361,245,50,0,1,0,123,-1,-3,0
35.059691,0,0,93,60,96,1361,245,50,0,1,0,123,-1,-3,0
35.064209,0,0,93,60,96,1361,245,50,0,1,0,123,-1,-3,0
35.077878,0,0,93,60,96,1361,245,50,0,1,0,123,-1,-3,0
35.082836,0,1,93,60,96,1361,245,50,1,1,0,123,-1,-3,0
35.090851,0,1,93,60,96,1361,245,50,1,1,0,122,-1,-3,0
35.095004,0,0,93,60,96,1361,245,50,1,1,0,122,-1,-3,0
35.108651,0,0,93,60,96,1361,245,50,1,1,0,122,-1,-3,0
35.113251,0,0,93,60,96,1361,245,50,1,1,0,122,-1,-3,0
35.121656,0,0,93,60,96,1361,245,50,1,1,0,122,-1,-3,0
35.139789,0,0,93,60,96,1361,245,50,1,1,0,122,-1,-3,0
35.144402,0,0,93,60,96,1361,245,50,1,1,0,122,-1,-3,0
35.152617,0,1,93,60,96,1361,245,50,1,1,0,122,0,-4,0
35.157154,0,0,93,60,96,1361,245,50,1,1,0,122,0,-4,0
35.170774,0,0,93,60,96,1361,245,50,1,1,0,122,0,-4,0
35.175040,1,1,93,60,96,1362,245,50,1,1,0,132,-1,-4,121
35.183369,0,0,93,60,96,1362,245,50,1,1,0,132,-1,-4,121
35.188548,0,0,93,60,96,1362,245,50,1,1,0,132,-1,-4,121
35.202582,0,0,93,60,96,1362,245,50,1,1,0,132,-1,-4,121
35.212917,1,1,93,60,96,1365,245,50,1,1,0,138,-1,-4,104
35.218451,0,0,93,60,96,1365,245,50,1,1,0,138,-1,-4,104
35.232643,0,0,93,60,96,1365,245,50,1,1,0,138,-1,-4,104
35.238102,0,1,93,60,96,1365,245,50,1,1,1,131,-1,-3,0
35.245221,0,0,93,60,96,1365,245,50,1,1,1,131,-1,-3,0
35.249781,0,0,93,60,96,1365,245,50,1,1,1,131,-1,-3,0
35.263469,0,0,93,60,96,1365,245,50,1,1,1,131,-1,-3,0
35.267662,0,1,93,60,96,1365,245,50,1,1,1,128,-1,-3,0
35.276082,0,1,93,60,96,1365,245,50,1,1,1,128,-1,-4,0
35.280587,0,0,93,60,96,1365,245,50,1,1,1,128,-1,-4,0
35.284687,0,0,93,60,96,1365,245,50,1,1,1,128,-1,-4,0
35.296106,0,1,93,60,96,1365,245,50,1,1,1,127,-1,-4,0
35.305588,0,1,93,60,96,1365,245,50,1,1,1,127,-1,-3,0
35.310091,0,0,93,60,96,1365,245,50,1,1,1,127,-1,-3,0
35.314326,0,1,93,60,96,1365,245,50,1,1,0,127,-1,-3,0
35.326959,0,1,93,60,96,1365,245,50,1,1,0,126,-1,-3,0
35.331157,0,0,93,60,96,1365,245,50,1,1,0,126,-1,-3,0
35.339058,0,0,93,60,96,1365,245,50,1,1,0,126,-1,-3,0
35.344105,0,0,93,60,96,1365,245,50,1,1,0,126,-1,-3,0
35.357840,1,1,93,59,96,1365,245,50,1,1,0,125,-1,-3,0
35.368009,0,0,93,59,96,1365,245,50,1,1,0,125,-1,-3,0
35.370848,0,0,93,59,96,1365,245,50,1,1,0,125,-1,-3,0
35.375751,1,0,93,60,96,1365,245,50,1,1,0,125,-1,-3,0
35.388732,0,1,93,60,96,1365,245,50,1,1,0,124,-1,-3,0
35.398986,0,0,93,60,96,1365,245,50,1,1,0,124,-1,-3,0
35.403753,0,0,93,60,96,1365,245,50,1,1,0,124,-1,-3,0
35.408827,0,0,93,60,96,1365,245,50,1,1,0,124,-1,-3,0
35.420681,0,1,93,60,96,1365,245,50,1,1,0,124,0,-3,0
35.430546,0,0,93,60,96,1365,245,50,1,1,0,124,0,-3,0
35.434771,0,0,93,60,96,1365,245,50,1,1,0,124,0,-3,0
35.439933,1,0,93,59,96,1365,245,50,1,1,0,124,0,-3,0
35.451546,0,0,93,59,96,1365,245,50,1,1,0,124,0,-3,0
35.461923,0,0,93,59,96,1365,245,50,1,1,0,124,0,-3,0
35.466877,1,0,93,60,96,1365,245,50,1,1,0,124,0,-3,0
35.480526,0,1,93,60,96,1365,245,50,1,1,0,123,0,-3,0
35.484736,0,0,93,60,96,1365,245,50,1,1,0,123,0,-3,0
35.493850,0,0,93,60,96,1365,245,50,1,1,0,123,0,-3,0
35.501669,0,1,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.513502,0,0,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.523087,0,0,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.528147,0,0,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.533156,0,0,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.543785,0,0,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.547886,0,0,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.555638,0,0,93,60,96,1365,245,50,1,1,0,123,-1,-3,0
35.559846,0,1,93,60,96,1365,245,50,1,1,0,136,-1,-3,119
35.573415,1,0,93,60,96,1366,245,50,1,1,0,136,-1,-3,119
35.577695,0,0,93,60,96,1366,245,50,1,1,0,136,-1,-3,119
35.585777,0,1,93,60,96,1366,245,50,0,1,0,136,-1,-3,119
35.589813,1,0,93,60,96,1369,245,50,0,1,0,136,-1,-3,25
35.593822,0,0,93,60,96,1369,245,50,0,1,0,136,-1,-3,25
35.605759,0,0,93,60,96,1369,245,50,0,1,0,136,-1,-3,25
35.609889,0,1,93,60,96,1369,245,50,1,1,0,136,-1,-3,25
35.616931,0,0,93,60,96,1369,245,50,1,1,0,136,-1,-3,25
35.620983,0,1,93,60,96,1369,245,50,1,1,0,130,-1,-3,0
35.625498,0,0,93,60,96,1369,245,50,1,1,0,130,-1,-3,0
35.637379,0,0,93,60,96,1369,245,50,1,1,0,130,-1,-3,0
35.647118,0,0,93,60,96,1369,245,50,1,1,0,130,-1,-3,0
