t_s,force4,force3,force2,pos,cur
1.302,664,354,524,641,0
1.310,664,354,524,641,0
1.311,664,354,524,641,0
1.313,664,354,494,641,0
1.316,583,332,494,641,0
1.319,583,332,494,634,0
1.330,583,332,494,634,0
1.333,583,332,494,634,0
1.335,583,332,494,634,0
1.342,583,332,463,634,0
1.344,583,312,463,634,0
1.347,521,312,463,634,0
1.350,521,312,463,624,0
1.361,521,312,463,624,0
1.364,521,312,463,624,0
1.372,521,312,463,624,0
1.373,521,312,440,624,0
1.375,521,296,440,624,0
1.377,474,296,440,618,0
1.379,474,296,440,618,0
1.381,474,296,440,618,0
1.392,474,296,440,618,0
1.394,474,296,440,618,0
1.396,474,296,440,618,0
1.404,474,296,440,618,0
1.407,445,285,440,618,0
1.409,445,285,440,614,0
1.412,445,285,440,614,0
1.423,445,285,440,614,0
1.426,445,285,440,614,0
1.428,445,285,440,614,0
1.435,445,284,422,614,0
1.437,447,284,422,614,0
1.439,447,284,422,614,0
1.441,447,284,422,614,0
1.444,447,284,422,614,0
1.455,447,284,422,614,0
1.457,447,284,422,614,0
1.465,447,284,421,614,0
1.467,448,284,421,613,0
1.470,448,284,421,613,0
1.473,448,284,421,613,0
1.485,448,284,421,613,0
1.488,448,284,422,613,0
1.497,448,284,422,613,0
1.500,448,284,422,613,0
1.504,448,284,422,613,0
1.515,448,284,422,613,0
1.517,448,284,422,613,0
1.519,448,284,422,613,0
1.527,448,284,422,613,0
1.529,448,284,422,613,0
1.532,448,284,422,613,0
1.534,448,284,422,613,0
1.536,448,284,422,613,0
1.547,448,284,422,613,0
1.550,448,283,422,613,0
1.552,448,283,422,613,0
1.559,449,283,422,613,0
1.561,449,283,422,613,0
1.563,449,283,422,613,0
1.565,449,283,422,613,0
1.567,449,283,422,613,0
1.578,449,283,422,613,0
1.580,449,283,422,613,0
1.582,449,283,422,613,0
1.589,450,283,422,613,0
1.591,450,283,422,613,0
1.593,450,283,422,613,0
1.594,450,283,422,613,0
1.596,450,283,422,613,0
1.598,450,283,422,613,0
1.609,450,283,422,613,0
1.611,450,283,422,613,0
1.613,450,283,422,613,0
1.620,450,283,422,613,0
1.622,450,283,422,613,0
1.623,450,283,422,613,0
1.626,450,283,422,613,0
1.629,450,283,422,613,0
1.640,450,283,422,613,0
1.642,450,283,422,613,0
1.645,450,284,422,613,0
1.652,450,284,422,613,0
1.654,450,284,422,613,0
1.657,450,284,422,613,0
1.660,450,284,422,613,0
1.672,450,284,423,613,0
1.675,451,283,423,613,0
1.683,451,283,423,613,0
1.686,451,283,423,613,0
1.688,451,283,423,613,0
1.690,451,283,423,613,0
1.702,451,283,423,613,0
1.705,451,283,422,613,0
1.713,450,283,422,613,0
1.716,450,283,422,613,0
1.720,450,283,422,613,0
1.722,450,283,422,613,0
1.733,450,283,422,613,0
1.736,450,283,423,613,0
1.745,451,283,423,613,0
1.748,451,283,423,613,0
1.750,451,283,423,613,0
1.753,451,283,423,613,0
1.764,451,283,423,613,0
1.767,451,283,422,613,0
1.769,451,284,422,613,0
1.776,451,284,422,613,0
1.778,451,284,422,613,0
1.781,451,284,422,613,0
1.782,451,284,422,613,0
1.785,451,284,422,613,0
1.796,451,284,422,613,0
1.798,451,283,422,613,0
1.800,451,283,422,613,0
1.807,451,283,422,613,0
1.809,451,283,422,613,0
1.811,451,283,422,613,0
1.813,451,283,422,613,0
1.815,451,283,422,613,0
1.826,451,283,422,613,0
1.829,451,283,422,613,0
1.831,451,283,422,613,0
1.838,451,283,422,613,0
1.841,451,283,422,613,0
1.843,451,283,422,613,0
1.845,451,283,422,613,0
1.856,451,283,423,613,0
1.859,451,284,423,613,0
1.862,451,284,423,613,0
1.869,451,284,423,613,0
1.872,451,284,423,613,0
1.873,451,284,423,613,0
1.875,451,284,423,613,0
1.877,451,284,423,613,0
1.888,451,284,422,613,0
1.891,451,283,422,613,0
1.893,451,283,422,613,0
1.900,451,283,422,613,0
1.902,451,283,422,613,0
1.904,451,283,422,613,0
1.907,451,283,422,613,0
1.918,451,283,423,613,0
1.920,452,283,423,613,0
1.923,452,283,423,613,0
1.931,452,283,423,613,0
1.933,452,283,423,613,0
1.935,452,283,423,613,0
1.937,452,283,423,613,0
1.940,452,283,423,613,0
1.952,452,283,423,613,0
1.953,452,283,423,613,0
1.960,452,283,423,613,0
1.963,452,283,423,613,0
1.965,452,283,423,613,0
1.968,452,283,423,613,0
1.970,452,283,423,613,0
1.982,452,283,423,613,0
1.983,452,283,423,613,0
1.986,452,283,423,613,0
1.992,452,283,423,613,0
1.994,452,283,423,613,0
1.996,452,283,423,613,0
1.998,452,283,423,613,0
2.000,452,283,423,613,0
2.011,452,283,423,613,0
2.013,452,283,423,613,0
2.015,452,283,423,613,0
2.017,452,283,423,613,0
2.024,452,283,423,613,0
2.027,452,283,423,613,0
2.029,452,283,423,613,0
2.031,452,283,423,613,0
2.043,452,283,423,613,0
2.045,452,283,423,613,0
2.048,452,283,423,613,0
2.055,452,283,423,613,0
2.057,452,283,423,613,0
2.059,452,283,423,613,0
2.061,452,283,423,613,0
2.063,452,283,423,613,0
2.074,452,283,423,613,0
2.076,452,283,423,613,0
2.078,452,283,423,613,0
2.086,452,283,423,613,0
2.089,452,283,423,613,0
2.091,452,283,423,613,0
2.093,452,283,423,613,0
2.105,452,283,423,613,0
2.107,452,283,423,613,0
2.108,452,283,423,613,0
2.116,452,283,423,613,0
2.117,452,283,423,613,0
2.119,452,283,423,613,0
2.121,452,283,423,613,0
2.123,452,283,423,613,0
2.125,452,283,423,613,0
2.136,452,283,423,613,0
2.138,452,283,423,613,0
2.140,452,283,423,613,0
2.147,452,283,423,613,0
2.149,452,283,423,613,0
