cycle,phase,t_s,force_g,pos_act,cur_mA,fresh_f,fresh_p
a1,base_pre,1.5797,0,98,0,0,0
a1,base_pre,1.5843,0,98,0,0,0
a1,base_pre,1.5976,0,98,0,0,0
a1,base_pre,1.6020,0,98,0,0,0
a1,base_pre,1.6103,0,98,0,0,0
a1,base_pre,1.6144,0,98,0,0,0
a1,base_pre,1.6186,0,98,0,0,0
a1,base_pre,1.6299,0,98,0,0,0
a1,base_pre,1.6341,0,98,0,0,0
a1,base_pre,1.6410,0,98,0,0,0
a1,base_pre,1.6451,0,98,0,0,0
a1,base_pre,1.6492,0,98,0,0,0
a1,base_pre,1.6609,0,98,0,0,0
a1,base_pre,1.6650,0,98,0,0,0
a1,base_pre,1.6721,0,98,0,0,0
a1,base_pre,1.6763,0,98,0,0,0
a1,base_pre,1.6804,0,98,0,0,0
a1,base_pre,1.6926,0,98,0,0,0
a1,base_pre,1.7026,0,98,0,0,0
a1,base_pre,1.7084,0,98,0,0,0
a1,base_pre,1.7220,0,98,0,0,0
a1,base_pre,1.7278,0,98,0,0,0
a1,base_pre,1.7354,0,98,0,0,0
a1,base_pre,1.7409,0,98,0,0,0
a1,base_pre,1.7549,0,98,0,0,0
a1,base_pre,1.7649,0,98,0,0,0
a1,base_pre,1.7700,0,98,0,0,0
a1,base_pre,1.7839,0,98,0,0,0
a1,base_pre,1.7889,0,98,0,0,1
a1,base_pre,1.7969,0,98,0,0,0
a1,base_pre,1.8021,0,98,0,0,0
a1,base_pre,1.8157,0,98,0,0,0
a1,base_pre,1.8206,0,98,0,0,0
a1,base_pre,1.8281,0,98,0,0,0
a1,base_pre,1.8332,0,98,0,0,0
a1,base_pre,1.8468,0,98,0,0,0
a1,base_pre,1.8515,0,98,0,0,0
a1,base_pre,1.8591,0,98,0,0,0
a1,base_pre,1.8641,0,98,0,0,0
a1,base_pre,1.8778,0,98,0,0,0
a1,base_pre,1.8882,0,98,0,0,0
a1,base_pre,1.8932,0,98,0,0,0
a1,base_pre,1.8983,0,98,0,0,0
a1,base_pre,1.9095,0,98,0,0,1
a1,base_pre,1.9189,0,98,0,0,0
a1,base_pre,1.9238,0,98,0,0,0
a1,base_pre,1.9282,0,98,0,0,0
a1,base_pre,1.9409,0,98,0,0,0
a1,base_pre,1.9505,0,98,0,0,0
a1,base_pre,1.9550,0,98,0,0,0
a1,base_pre,1.9591,0,98,0,0,0
a1,base_pre,1.9713,0,98,0,0,0
a1,base_pre,1.9811,0,98,0,0,0
a1,base_pre,1.9852,0,98,0,0,0
a1,base_pre,1.9893,0,98,0,1,1
a1,base_pre,2.0020,0,98,0,1,0
a1,base_pre,2.0061,0,98,0,0,0
a1,base_pre,2.0130,0,98,0,0,0
a1,base_pre,2.0171,0,98,0,0,0
a1,base_pre,2.0212,0,98,0,0,0
a1,base_pre,2.0330,0,98,0,0,0
a1,base_pre,2.0371,0,98,0,0,0
a1,base_pre,2.0441,0,98,0,0,0
a1,base_pre,2.0481,0,98,0,0,0
a1,base_pre,2.0522,0,98,0,1,0
a1,base_pre,2.0640,0,98,0,0,0
a1,base_pre,2.0682,0,98,0,0,0
a1,base_pre,2.0753,0,98,0,0,0
a1,base_pre,2.0794,0,98,0,0,0
a1,base_pre,2.0838,0,98,0,0,0
a1,base_pre,2.0949,0,98,0,0,0
a1,base_pre,2.0991,0,98,0,0,0
a1,base_pre,2.1061,0,98,0,0,0
a1,base_pre,2.1101,0,98,0,1,0
a1,base_pre,2.1142,0,98,0,0,0
a1,base_pre,2.1259,0,98,0,0,0
a1,base_pre,2.1301,0,98,0,0,0
a1,base_pre,2.1372,0,98,0,0,0
a1,base_pre,2.1413,0,98,0,1,0
a1,base_pre,2.1454,0,98,0,0,0
a1,base_pre,2.1569,0,98,0,0,0
a1,base_pre,2.1611,0,98,0,0,0
a1,base_pre,2.1687,0,98,0,0,0
a1,base_pre,2.1728,0,98,0,0,0
a1,base_pre,2.1770,0,98,0,0,0
a1,base_pre,2.1888,0,98,0,0,0
a1,base_pre,2.1989,0,98,0,0,0
a1,base_pre,2.2036,0,98,0,0,0
a1,base_pre,2.2078,0,98,0,0,0
a1,base_pre,2.2199,0,98,0,0,0
a1,base_pre,2.2297,0,98,0,0,0
a1,base_pre,2.2345,0,98,0,0,0
a1,base_pre,2.2394,0,98,0,0,0
a1,base_pre,2.2500,0,98,0,0,0
a1,base_pre,2.2542,0,98,0,0,0
a1,base_pre,2.2622,0,98,0,0,0
a1,base_pre,2.2668,0,98,0,0,0
a1,base_pre,2.2810,0,98,0,0,0
a1,base_pre,2.2909,0,98,0,0,0
a1,base_pre,2.2961,0,98,0,1,0
a1,base_pre,2.3019,0,98,0,0,0
a1,base_pre,2.3137,0,98,0,0,0
a1,base_pre,2.3249,0,98,0,0,1
a1,base_pre,2.3307,0,98,0,0,0
a1,base_pre,2.3439,0,98,0,0,0
a1,base_pre,2.3543,0,98,0,1,0
a1,base_pre,2.3584,0,98,0,0,0
a1,base_pre,2.3625,0,98,0,0,0
a1,base_pre,2.3744,0,98,0,0,0
a1,base_pre,2.3840,0,98,0,0,0
a1,base_pre,2.3882,0,98,0,0,0
a1,base_pre,2.3924,0,98,0,0,0
a1,base_pre,2.4051,0,98,0,0,0
a1,base_pre,2.4093,0,98,0,0,0
a1,base_pre,2.4164,0,98,0,0,0
a1,base_pre,2.4206,0,98,0,0,0
a1,base_pre,2.4248,0,98,0,0,0
a1,base_pre,2.4365,0,98,0,0,0
a1,base_pre,2.4462,0,98,0,0,0
a1,base_pre,2.4509,0,98,0,0,0
a1,base_pre,2.4554,0,98,0,0,0
a1,base_pre,2.4679,0,98,0,0,0
a1,base_pre,2.4775,0,98,0,0,0
a1,base_pre,2.4826,0,98,0,0,0
a1,base_pre,2.4873,0,98,0,0,0
a1,base_pre,2.4989,0,98,0,0,0
a1,base_pre,2.5089,0,98,0,0,1
a1,base_pre,2.5135,0,98,0,0,0
a1,base_pre,2.5184,0,98,0,0,0
a1,base_pre,2.5293,0,98,0,0,0
a1,base_pre,2.5335,0,98,0,0,0
a1,base_pre,2.5416,0,98,0,0,0
a1,base_pre,2.5465,0,98,0,0,0
a1,base_pre,2.5600,0,98,0,0,0
a1,base_pre,2.5699,0,98,0,0,0
a1,base_pre,2.5745,0,98,0,0,0
a1,base_pre,2.5791,0,98,0,0,0
a1,base_pre,2.5917,0,98,0,1,0
a1,base_pre,2.6014,0,98,0,0,0
a1,base_pre,2.6063,0,98,0,0,0
a1,base_pre,2.6113,0,98,0,0,0
a1,base_pre,2.6224,0,98,0,1,0
a1,base_pre,2.6322,0,98,0,0,0
a1,base_pre,2.6364,0,98,0,0,0
a1,base_pre,2.6409,0,98,0,0,0
a1,base_pre,2.6534,0,98,0,0,0
a1,base_pre,2.6631,0,98,0,0,0
a1,base_pre,2.6681,0,98,0,0,0
a1,base_pre,2.6731,0,98,0,0,0
a1,base_pre,2.6844,0,98,0,0,0
a1,base_pre,2.6940,0,98,0,0,0
a1,base_pre,2.6982,0,98,0,0,0
a1,base_pre,2.7036,0,98,0,0,0
a1,base_pre,2.7154,0,98,0,0,0
a1,base_pre,2.7254,0,98,0,0,0
a1,base_pre,2.7299,0,98,0,0,0
a1,base_pre,2.7345,0,98,0,0,0
a1,base_pre,2.7460,0,98,0,0,0
a1,base_pre,2.7502,0,98,0,0,0
a1,base_pre,2.7586,0,98,0,0,0
a1,base_pre,2.7643,0,98,0,0,0
a1,base_pre,2.7774,0,98,0,0,0
a1,base_pre,2.7870,0,98,0,0,0
a1,base_pre,2.7919,0,98,0,0,0
a1,base_pre,2.7969,0,98,0,0,1
a1,base_pre,2.8089,0,98,0,0,0
a1,base_pre,2.8186,0,98,0,0,0
a1,base_pre,2.8233,0,98,0,0,0
a1,base_pre,2.8282,0,98,0,0,0
a1,base_pre,2.8398,0,98,0,0,0
a1,base_pre,2.8493,0,98,0,0,0
a1,base_pre,2.8543,0,98,0,0,0
a1,base_pre,2.8593,0,98,0,0,1
a1,base_pre,2.8709,0,98,0,0,0
a1,base_pre,2.8810,0,98,0,0,0
a1,base_pre,2.8852,0,98,0,0,0
a1,base_pre,2.8906,0,98,0,0,0
a1,base_pre,2.9023,0,98,0,0,0
a1,base_pre,2.9135,0,98,0,0,0
a1,base_pre,2.9186,0,98,0,0,0
a1,base_pre,2.9324,0,98,0,0,0
a1,base_pre,2.9422,0,98,0,0,0
a1,base_pre,2.9476,0,98,0,0,1
a1,base_pre,2.9528,0,98,0,0,0
a1,base_pre,2.9642,0,98,0,0,0
a1,base_pre,2.9741,0,98,0,0,0
a1,base_pre,2.9793,0,98,0,0,0
a1,base_pre,2.9928,0,98,0,0,0
a1,base_pre,2.9971,0,98,0,0,0
a1,base_pre,3.0059,0,98,0,0,0
a1,hold,0.0026,470,1473,0,0,0
a1,hold,0.0143,470,1473,0,0,0
a1,hold,0.0243,470,1473,0,0,0
a1,hold,0.0293,470,1473,0,0,0
a1,hold,0.0344,469,1473,0,1,0
a1,hold,0.0459,469,1473,0,0,0
a1,hold,0.0567,469,1473,0,0,0
a1,hold,0.0618,468,1473,0,1,0
a1,hold,0.0751,468,1473,0,0,0
a1,hold,0.0800,468,1473,0,0,0
a1,hold,0.0879,468,1473,0,0,0
a1,hold,0.0926,468,1473,0,0,0
a1,hold,0.1070,468,1473,0,0,0
