n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
4,2,cerrar,266,264,1503.0,1506,3.0,265,322,57,6/0,2/2,44,0
0,1,abrir,266,267,1503,1503,0,262,263,1,9/0,6/0,44,0
9,3,abrir,266,269,1503.0,1500,-3.0,264,137,-127,4/0,5/0,44,0
0,2,abrir,266,268,1503,1503,0,179,179,0,14/0,5/0,44,0
2,2,cerrar,266,264,1503,1505,2,179,318,139,9/0,3/0,44,0
9,2,cerrar,266,264,1503,1507,4,265,326,61,8/3,2/1,44,0
3,10,cerrar,266,256,1503,1519.0,16.0,267,688,421,3/4,9/0,44,0
7,2,abrir,266,268,1504.0,1502,-2.0,272,208,-64,5/4,8/0,44,0
3,10,abrir,266,276,1502.0,1487.0,-15.0,210,32,-178,10/0,8/0,44,0
1,10,cerrar,266,256,1501.0,1519,18.0,194,684,490,10/4,8/0,44,0
3,3,cerrar,266,263,1504.0,1510.0,6.0,271,408,137,7/0,12/0,44,0
9,10,abrir,266,276,1503.0,1487.0,-16.0,264,33,-231,6/1,12/0,44,0
6,10,cerrar,266,256,1501,1519.0,18.0,177,685,508,8/0,11/0,44,0
8,2,cerrar,266,264,1504.0,1507,3.0,271,319,48,10/4,9/0,44,0
4,2,abrir,266,268,1503.0,1503.0,0.0,260,261,1,14/7,12/1,44,0
8,10,cerrar,266,256,1503,1519,16,262,671,409,7/2,12/0,44,0
4,3,cerrar,266,263,1503.0,1509,6.0,255,393,138,10/1,15/6,44,0
4,1,abrir,266,267,1503,1503,0,258,259,1,7/3,11/0,44,0
4,10,cerrar,266,256,1503,1519.0,16.0,261,670,409,9/0,12/1,44,0
0,5,abrir,266,271,1504.0,1496.0,-8.0,257,75,-182,11/2,14/0,44,0
4,1,cerrar,266,265,1501,1505.0,4.0,163,266,103,14/0,8/0,44,0
0,2,cerrar,266,264,1502.0,1506,4.0,236,333,97,8/0,11/0,44,0
5,1,abrir,266,267,1502,1503,1,277,277,0,6/4,0/0,44,0
1,2,cerrar,266,264,1503.0,1506.0,3.0,277,334,57,4/1,7/0,44,0
1,2,abrir,266,268,1503,1502.5,-0.5,276,276,0,9/2,7/3,44,0
6,5,abrir,266,271,1502,1496.0,-6.0,277,76,-201,4/4,16/0,44,0
7,3,abrir,266,269,1501,1500,-1,173,129,-44,10/4,2/0,44,0
7,5,cerrar,266,261,1502,1510,8,182,484,302,15/0,13/0,44,0
3,5,abrir,266,271,1503.0,1496.0,-7.0,280,79,-201,7/0,18/0,44,0
0,3,abrir,266,269,1501.0,1500,-1.0,169,130,-39,12/0,11/0,44,0
9,5,cerrar,266,261,1502.0,1510.0,8.0,180,487,307,8/0,7/0,44,0
5,2,cerrar,266,264,1503.0,1507.0,4.0,281,331,50,11/1,12/0,44,0
8,10,abrir,266,276,1503.0,1487,-16.0,271,31,-240,9/2,16/0,44,0
6,3,cerrar,266,263,1501,1510.0,9.0,190,437,247,11/1,10/0,44,0
6,10,abrir,266,276,1503.0,1487,-16.0,304,32,-272,12/0,11/0,44,0
0,1,cerrar,266,265,1502.0,1505,3.0,188,295,107,8/0,10/0,44,0
2,5,abrir,266,271,1502,1496,-6,254,89,-165,11/0,14/0,44,0
5,2,abrir,266,268,1502,1502,0,182,181,-1,9/0,8/0,44,0
8,3,abrir,266,269,1502.0,1499,-3.0,180,137,-43,18/0,11/0,44,0
2,10,abrir,266,276,1502.0,1487,-15.0,188,32,-156,9/0,9/0,44,0
3,1,cerrar,266,265,1502,1505,3,191,301,110,11/1,7/0,44,0
5,10,abrir,266,276,1505,1487,-18,300,32,-268,9/0,13/0,44,0
6,3,abrir,266,269,1502.0,1500,-2.0,193,146,-47,6/1,8/0,44,0
0,10,abrir,266,276,1502.0,1487,-15.0,196,33,-163,13/0,16/0,44,0
6,2,cerrar,266,264,1501,1507,6,191,360,169,12/2,9/4,44,0
0,3,cerrar,266,263,1503,1509.0,6.0,303,445,142,10/0,5/0,44,0
5,3,abrir,266,269,1503,1500.0,-3.0,315,147,-168,16/2,7/0,44,0
9,10,cerrar,266,256,1503,1519.0,16.0,184,680,496,8/0,13/0,44,0
5,5,abrir,266,271,1504,1496,-8,272,75,-197,8/1,8/0,44,0
1,5,abrir,266,271,1502,1497,-5,171,82,-89,12/1,11/0,44,0
0,5,cerrar,266,261,1501,1510.0,9.0,163,483,320,10/0,11/0,44,0
2,3,cerrar,266,263,1503,1509.0,6.0,289,403,114,10/3,15/0,44,0
9,1,cerrar,266,265,1504,1507.0,3.0,298,331,33,7/5,10/0,44,0
2,10,cerrar,266,256,1503,1519.0,16.0,271,679,408,6/0,11/0,44,0
9,2,abrir,266,268,1503,1501.0,-2.0,268,192,-76,18/1,14/0,44,0
8,1,abrir,266,267,1503,1504.0,1.0,214,214,0,15/0,8/0,44,0
7,5,abrir,266,271,1504.0,1496,-8.0,214,75,-139,11/0,10/0,44,0
8,5,cerrar,266,261,1502.0,1510,8.0,165,481,316,14/0,12/0,44,0
2,2,abrir,266,268,1503.0,1502.0,-1.0,294,197,-97,15/3,10/0,44,0
9,5,abrir,266,271,1503.0,1496.0,-7.0,215,73,-142,13/0,12/0,44,0
2,1,abrir,266,267,1502,1502.0,0.0,170,169,-1,8/0,1/1,44,0
5,10,cerrar,266,256,1502.0,1510,8.0,175,451,276,6/1,0/0,44,0
6,2,abrir,266,268,1504,1502.0,-2.0,277,203,-74,10/0,9/1,44,0
7,1,abrir,266,267,1502,1502,0,208,209,1,6/0,16/0,44,0
4,5,cerrar,266,261,1502,1510,8,208,452,244,15/0,9/2,44,0
7,2,cerrar,266,264,1503.0,1507.0,4.0,286,330,44,11/5,9/0,44,0
4,5,abrir,266,271,1503.0,1496.0,-7.0,269,72,-197,14/0,10/0,44,0
5,3,cerrar,266,263,1501,1510,9,166,422,256,7/3,10/1,44,0
1,5,cerrar,266,261,1503.0,1510.0,7.0,297,467,170,15/0,6/0,44,0
8,2,abrir,266,268,1503,1502.0,-1.0,298,202,-96,10/5,10/2,44,0
1,3,abrir,266,269,1503,1500,-3,220,126,-94,11/0,9/0,44,0
2,5,cerrar,266,261,1503.0,1510.0,7.0,166,476,310,4/0,12/0,44,0
5,5,cerrar,266,261,1503,1510.0,7.0,288,474,186,8/0,4/2,44,0
3,2,abrir,266,268,1503.0,1501.0,-2.0,285,193,-92,7/0,5/3,44,0
5,1,cerrar,266,265,1503.0,1506,3.0,215,255,40,6/0,5/1,44,0
3,3,abrir,266,269,1502,1500.0,-2.0,217,124,-93,13/0,12/0,44,0
7,10,abrir,266,276,1503,1488,-15,164,28,-136,15/0,11/3,44,0
9,3,cerrar,266,263,1502,1510.0,8.0,187,443,256,9/2,14/0,44,0
