n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
9,2,cerrar,413,411,813,813,0,250,249,-1,13/1,12/0,30,0
3,10,cerrar,413,403,813.0,818.0,5.0,249,285,36,14/0,8/0,30,0
7,2,abrir,413,415,811,811.0,0.0,240,240,0,8/0,8/1,30,0
3,10,abrir,413,423,812,804,-8,249,173,-76,8/0,12/0,30,0
1,10,cerrar,413,403,812,818,6,239,283,44,10/0,13/0,30,0
3,3,cerrar,413,410,811,815,4,240,262,22,11/0,10/0,30,0
9,10,abrir,413,423,814.0,804.0,-10.0,254,173,-81,11/0,9/0,30,0
6,10,cerrar,413,403,812,818,6,239,289,50,7/0,9/1,30,0
8,2,cerrar,413,411,812.0,815,3.0,240,261,21,14/0,9/0,30,0
4,2,abrir,413,415,813,810.0,-3.0,251,216,-35,12/0,13/0,30,0
8,10,cerrar,413,403,810.0,818,8.0,221,285,64,11/0,11/0,30,0
4,3,cerrar,413,410,812.0,815.0,3.0,239,259,20,10/0,0/0,30,0
4,1,abrir,413,414,811.0,811.0,0.0,230,231,1,11/0,9/0,30,0
4,10,cerrar,413,403,813,818.0,5.0,251,284,33,11/1,9/2,30,0
0,5,abrir,413,418,811.0,808,-3.0,237,200,-37,7/0,4/1,30,0
4,1,cerrar,413,412,812,812,0,233,233,0,13/0,12/0,30,0
0,2,cerrar,413,411,812.0,813,1.0,232,247,15,13/0,8/2,30,0
5,1,abrir,413,414,813.0,813,0.0,246,246,0,9/0,5/0,32,0
1,2,cerrar,413,411,813.0,813.0,0.0,246,246,0,8/0,8/0,30,0
1,2,abrir,413,415,813.0,810.0,-3.0,246,225,-21,13/1,2/0,30,0
6,5,abrir,413,418,813,807.0,-6.0,240,199,-41,11/1,2/0,30,0
7,3,abrir,413,416,812,810.0,-2.0,234,225,-9,11/0,5/0,30,0
7,5,cerrar,413,408,812,815.0,3.0,235,260,25,9/0,12/0,30,0
3,5,abrir,413,418,813.0,807,-6.0,255,199,-56,12/0,10/0,30,0
0,3,abrir,413,416,812.0,809,-3.0,234,225,-9,10/0,6/0,30,0
9,5,cerrar,413,408,812,815,3,235,262,27,7/0,10/0,30,0
5,2,cerrar,413,411,813,813,0,255,255,0,8/0,7/0,28,0
8,10,abrir,413,423,813.0,804.0,-9.0,255,169,-86,6/0,8/0,30,0
6,3,cerrar,413,410,812,814,2,239,258,19,7/0,10/0,30,0
6,10,abrir,413,423,811,803,-8,227,169,-58,4/0,5/0,30,0
0,1,cerrar,413,412,812.0,812.0,0.0,240,241,1,7/0,11/0,30,0
2,5,abrir,413,418,812.0,807.0,-5.0,240,199,-41,11/0,9/0,30,0
5,2,abrir,413,415,812.0,812.0,0.0,235,234,-1,10/0,8/0,30,0
8,3,abrir,413,416,812.0,810,-2.0,234,225,-9,13/0,8/1,30,0
2,10,abrir,413,423,812,803,-9,236,165,-71,7/0,5/0,30,0
3,1,cerrar,413,412,812,812,0,244,244,0,13/0,16/0,30,0
5,10,abrir,413,423,812.0,803.0,-9.0,244,169,-75,4/0,7/0,30,0
6,3,abrir,413,416,812.0,809,-3.0,242,228,-14,13/0,7/0,30,0
0,10,abrir,413,423,812.0,803.0,-9.0,242,167,-75,10/0,1/0,30,0
6,2,cerrar,413,411,812,814.0,2.0,243,260,17,13/0,8/1,30,0
0,3,cerrar,413,410,812.0,815,3.0,233,263,30,9/0,14/0,30,0
5,3,abrir,413,416,813,808.0,-5.0,257,204,-53,12/0,13/0,30,0
9,10,cerrar,413,403,813.0,819.0,6.0,249,296,47,6/0,7/0,30,0
5,5,abrir,413,418,812.0,808,-4.0,241,201,-40,6/0,6/0,30,0
1,5,abrir,413,418,813.0,807,-6.0,244,198,-46,7/0,17/0,30,0
0,5,cerrar,413,408,812.0,815.0,3.0,242,261,19,10/0,6/0,30,0
2,3,cerrar,413,410,811.0,815.0,4.0,229,262,33,11/0,8/0,30,0
9,1,cerrar,413,412,813,813,0,255,255,0,12/1,10/0,30,0
2,10,cerrar,413,403,813,819.0,6.0,255,295,40,12/0,11/1,30,0
9,2,abrir,413,415,812.0,812,0.0,239,238,-1,9/0,14/1,30,0
8,1,abrir,413,414,811,811.0,0.0,238,239,1,8/0,14/0,30,0
7,5,abrir,413,418,811,808.0,-3.0,238,199,-39,17/0,8/0,30,0
8,5,cerrar,413,408,813,814,1,245,262,17,2/0,11/1,30,0
2,2,abrir,413,415,811,811.0,0.0,229,229,0,10/0,11/0,32,0
9,5,abrir,413,418,812,807,-5,252,198,-54,6/0,7/1,30,0
2,1,abrir,413,414,812.0,812.0,0.0,242,242,0,11/0,1/0,30,0
5,10,cerrar,413,403,812.0,819,7.0,242,294,52,12/0,10/0,30,0
6,2,abrir,413,415,812.0,812,0.0,238,238,0,15/0,11/0,30,0
7,1,abrir,413,414,812,811.0,-1.0,238,238,0,9/0,7/0,30,0
4,5,cerrar,413,408,811,816.5,5.5,238,267,29,4/1,7/1,30,0
7,2,cerrar,413,411,811.0,816,5.0,228,255,27,3/0,8/1,30,0
4,5,abrir,413,418,813.0,807.0,-6.0,247,197,-50,8/0,6/1,32,0
5,3,cerrar,413,410,812.0,813.0,1.0,244,258,14,12/0,10/0,32,0
1,5,cerrar,413,408,813.0,814,1.0,257,258,1,9/0,9/0,30,0
8,2,abrir,413,415,812,811.0,-1.0,228,227,-1,6/1,10/0,30,0
1,3,abrir,413,416,812.0,808.0,-4.0,235,202,-33,11/0,7/1,30,0
2,5,cerrar,413,408,813,814.0,1.0,248,262,14,4/0,6/0,30,0
5,5,cerrar,413,408,811,815.0,4.0,229,264,35,7/0,10/0,32,0
3,2,abrir,413,415,813,809,-4,256,216,-40,14/0,6/0,32,0
5,1,cerrar,413,412,814.0,814.0,0.0,253,253,0,13/0,3/0,30,0
3,3,abrir,413,416,812.0,808,-4.0,228,203,-25,7/0,7/1,32,0
7,10,abrir,413,423,813.0,803.0,-10.0,250,165,-85,9/0,4/0,32,0
9,3,cerrar,413,410,812.0,814,2.0,247,259,12,7/0,7/0,32,0
