index,dt_ms,ok
133,7.342539,1
134,12.668392,1
135,11.578959,1
136,6.273198,1
137,12.664222,1
138,11.908740,1
139,6.559692,1
140,12.913249,1
141,10.930910,1
142,7.411538,1
143,13.003116,1
144,10.600510,1
145,7.235421,1
146,12.723003,1
147,10.672937,1
148,6.321433,1
149,13.757431,1
150,11.562726,1
151,7.289306,1
152,12.672990,1
153,10.576870,1
154,6.471366,1
155,14.180733,1
156,10.939598,1
157,6.478104,1
158,13.204280,1
159,10.687101,1
160,6.199178,1
161,13.759458,1
162,11.561955,1
163,6.224509,1
164,13.784274,1
165,11.244820,1
166,6.719169,1
167,13.160647,1
168,11.108172,1
169,6.728826,1
170,13.118580,1
171,10.950759,1
172,6.481811,1
173,13.252364,1
174,10.990629,1
175,6.491822,1
176,13.050511,1
177,10.907902,1
178,6.599556,1
179,14.244199,1
180,10.991383,1
181,6.553876,1
182,13.251189,1
183,10.997049,1
184,6.330419,1
185,13.041993,1
186,10.955580,1
187,6.643002,1
188,14.148090,1
189,10.956886,1
190,6.287750,1
191,13.109081,1
192,10.894322,1
193,6.613693,1
194,14.181517,1
195,10.913894,1
196,6.314655,1
197,13.135570,1
198,10.849910,1
199,6.565797,1
200,13.129168,1
201,11.877265,1
202,6.186936,1
203,13.796588,1
204,10.690995,1
205,7.296982,1
206,12.861130,1
207,10.546619,1
208,6.306319,1
209,13.771055,1
210,11.699200,1
211,6.616459,1
212,13.134625,1
213,10.815644,1
214,6.444410,1
215,13.058852,1
216,10.898058,1
217,6.242387,1
218,13.872703,1
219,12.686401,1
220,6.161236,1
221,12.636711,1
222,11.039119,1
223,6.424498,1
224,13.001045,1
225,11.722874,1
226,6.148972,1
227,13.716401,1
228,11.468859,1
229,6.214966,1
230,12.622526,1
231,11.522077,1
232,7.296098,1
233,12.570247,1
234,10.468685,1
235,6.129537,1
236,13.889420,1
237,6.191192,1
238,6.136168,1
239,7.355878,1
240,11.585852,1
241,10.786193,1
242,6.407650,1
243,14.442257,1
244,10.123085,1
245,6.436221,1
246,13.953112,1
247,11.792294,1
248,6.222626,1
249,12.786173,1
250,11.926629,1
251,6.311635,1
252,13.307520,1
253,12.134356,1
254,6.353929,1
255,11.889760,1
256,12.020917,1
257,7.473731,1
258,12.048237,1
259,12.100365,1
260,6.404247,1
261,13.082009,1
262,10.924545,1
263,7.493079,1
264,12.018792,1
265,11.714539,1
266,6.398909,1
267,12.851229,1
268,11.693725,1
269,6.370422,1
270,13.865527,1
271,10.618502,1
272,7.486429,1
273,12.712207,1
274,10.783789,1
275,7.582379,1
276,12.183737,1
277,10.773168,1
278,6.398136,1
279,14.291506,1
280,10.967857,1
281,6.306090,1
282,13.728884,1
283,10.527383,1
284,7.275705,1
285,12.721828,1
286,10.505048,1
287,6.209777,1
288,13.751906,1
289,11.660357,1
290,6.240462,1
291,13.805215,1
292,10.426416,1
293,6.316295,1
294,13.689966,1
295,11.623053,1
296,6.215115,1
297,13.822603,1
298,10.715515,1
299,7.308882,1
300,12.835970,1
301,10.454043,1
302,6.338189,1
303,13.803896,1
304,10.584842,1
305,6.167699,1
306,14.873526,1
307,10.607111,1
308,7.277949,1
309,12.771746,1
310,10.560262,1
311,6.364775,1
312,13.861882,1
313,10.524597,1
314,6.248578,1
315,13.894969,1
316,11.707207,1
317,6.162239,1
318,13.845399,1
319,10.603331,1
320,7.353604,1
321,12.750140,1
322,10.518997,1
323,6.325129,1
324,13.863298,1
325,10.645695,1
326,6.205236,1
327,13.838907,1
328,11.919962,1
329,6.559932,1
330,13.212177,1
331,10.893250,1
332,6.437335,1
333,13.012082,1
334,11.770955,1
335,6.209027,1
336,13.723215,1
337,11.687770,1
338,7.262536,1
339,11.953040,1
340,10.559310,1
341,6.325630,1
342,13.733788,1
343,10.538601,1
344,6.194962,1
345,14.844103,1
346,11.537471,1
347,7.501217,1
348,11.914904,1
349,11.060784,1
350,6.361764,1
351,12.664684,1
352,11.606687,1
353,6.224238,1
354,13.807987,1
355,11.517492,1
356,6.198876,1
357,12.599409,1
358,11.528505,1
359,6.219300,1
360,13.723409,1
361,10.569924,1
362,6.145183,1
363,13.671473,1
364,6.310584,1
365,7.392781,1
366,6.283449,1
367,11.513913,1
368,10.546854,1
369,6.237417,1
370,13.744809,1
371,11.540003,1
372,7.358951,1
373,12.631863,1
374,11.613836,1
375,6.139576,1
376,13.048882,1
377,10.660977,1
378,6.131376,1
379,14.797544,1
380,10.626967,1
381,7.394788,1
382,12.953532,1
383,11.871146,1
384,6.440628,1
385,11.814977,1
386,11.906425,1
387,6.172731,1
388,12.749562,1
389,6.372131,1
390,7.302655,1
391,6.374342,1
392,11.606364,1
393,12.251331,1
394,6.622269,1
395,13.232640,1
396,10.996611,1
397,6.578893,1
398,11.908853,1
399,11.741937,1
400,6.269058,1
401,13.849151,1
402,11.689466,1
403,6.336955,1
404,12.709833,1
405,11.784584,1
406,6.376639,1
407,12.728843,1
408,11.683146,1
409,7.348908,1
410,12.760552,1
411,10.641584,1
412,7.303502,1
413,12.831612,1
414,10.610383,1
415,6.285915,1
416,13.870123,1
417,11.696327,1
418,6.361865,1
419,13.232282,1
420,11.169090,1
421,6.858056,1
422,12.359907,1
423,11.998726,1
424,6.521457,1
425,12.877051,1
426,10.476902,1
427,6.242403,1
428,14.753591,1
429,10.602587,1
430,7.262678,1
431,12.641701,1
432,11.059632,1
433,6.412564,1
434,13.058567,1
435,11.544457,1
436,7.268832,1
437,12.656974,1
438,10.440208,1
439,6.217348,1
440,13.696502,1
441,11.719680,1
442,6.167537,1
443,13.749421,1
444,10.465365,1
445,6.255669,1
446,13.755751,1
447,11.603444,1
448,6.196721,1
449,13.785441,1
450,10.520566,1
451,6.378984,1
452,14.201389,1
453,10.487612,1
454,6.251550,1
455,13.701967,1
456,11.552232,1
457,6.236364,1
458,13.060942,1
459,11.631748,1
460,6.279902,1
461,12.738203,1
462,11.621083,1
463,7.214640,1
464,12.586368,1
465,11.589427,1
466,6.187297,1
467,13.730476,1
468,10.477278,1
469,6.281298,1
470,13.690179,1
471,11.781561,1
472,6.277364,1
473,13.185909,1
474,10.801561,1
475,7.602817,1
476,13.038744,1
477,10.502660,1
478,7.357327,1
479,12.743815,1
480,10.446277,1
481,6.195108,1
482,14.197761,1
483,12.088814,1
484,6.573642,1
485,11.979709,1
486,11.585049,1
487,6.220864,1
488,13.047867,1
489,11.692341,1
490,6.256726,1
491,13.867562,1
492,11.982668,1
493,6.373583,1
494,11.820529,1
495,12.103160,1
496,6.314585,1
497,12.811469,1
498,10.779097,1
499,6.377260,1
500,13.730387,1
501,12.096192,1
502,7.359751,1
503,11.576634,1
504,10.922896,1
505,6.226471,1
506,13.784365,1
507,11.590840,1
508,6.248597,1
509,13.682142,1
510,11.519151,1
511,6.160412,1
512,12.723739,1
513,12.654186,1
514,6.232462,1
515,12.578006,1
516,10.500993,1
517,6.172955,1
518,13.762804,1
519,12.637370,1
520,6.207413,1
521,12.587668,1
522,11.613203,1
523,6.153388,1
524,12.689578,1
525,6.198221,1
526,6.249881,1
527,7.352567,1
528,11.576127,1
529,11.653214,1
530,6.191357,1
531,12.727948,1
532,6.213496,1
533,7.287534,1
534,7.338694,1
535,11.543553,1
536,10.840137,1
537,7.431220,1
538,12.851275,1
539,10.676367,1
540,6.275411,1
541,14.089438,1
542,10.597607,1
543,7.234507,1
544,12.668743,1
545,11.553923,1
546,6.251809,1
547,13.858913,1
548,10.836606,1
549,6.556899,1
550,12.854274,1
551,10.883082,1
552,6.291788,1
553,13.559103,1
554,11.756185,1
555,6.359021,1
556,13.471484,1
557,11.024001,1
558,6.553363,1
559,13.575279,1
560,10.852514,1
561,6.328047,1
562,13.926575,1
563,10.735104,1
564,7.282830,1
565,12.898574,1
566,10.729776,1
567,7.341863,1
568,12.831322,1
569,10.933956,1
570,6.423532,1
571,13.758809,1
572,10.220157,1
573,6.776223,1
574,13.749435,1
575,10.232382,1
576,6.803443,1
577,13.536590,1
578,11.503993,1
579,6.562083,1
580,12.614102,1
581,11.322537,1
582,6.763248,1
583,13.096654,1
584,11.669790,1
585,6.157513,1
586,13.803146,1
587,10.492871,1
588,7.255778,1
589,12.691834,1
590,11.562800,1
591,6.098332,1
592,13.132917,1
593,9.792743,1
594,6.296021,1
595,14.828459,1
596,11.523973,1
597,7.267624,1
598,13.037001,1
599,10.635985,1
600,7.330613,1
601,12.654353,1
602,10.581285,1
603,6.288531,1
604,13.766989,1
605,11.665980,1
606,6.449792,1
607,13.208082,1
608,10.812853,1
609,7.381203,1
610,12.573038,1
611,11.619134,1
612,6.152054,1
613,13.746957,1
614,10.569728,1
615,7.345701,1
616,12.765794,1
617,10.492692,1
618,6.102748,1
619,13.762827,1
620,12.611553,1
621,7.323561,1
622,11.618392,1
623,10.545485,1
624,6.145041,1
625,13.787771,1
626,11.572979,1
627,7.394597,1
628,12.620667,1
629,11.545701,1
630,6.240484,1
631,12.727745,1
632,11.636923,1
633,6.254265,1
634,13.709114,1
635,10.477864,1
636,6.175149,1
637,13.710049,1
638,12.568673,1
639,6.426737,1
640,12.812477,1
641,11.637192,1
642,7.343249,1
643,11.525740,1
644,10.562899,1
645,6.198972,1
646,13.849295,1
647,12.659564,1
648,6.305854,1
649,12.654480,1
650,10.470525,1
651,6.128426,1
652,13.786585,1
653,11.679036,1
654,6.280326,1
655,12.712723,1
656,6.299684,1
657,6.209046,1
658,7.205249,1
