trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof2_v25_F500_n03.csv,2,25,500,609,109,530,3898,1484,575,0,,1,-6,tcp1,50
A_dof2_v1000_F1000_n00.csv,2,1000,1000,3583,2583,55,247,1620,618,1,,3,-6,tcp1,50
A_dof2_v100_F750_n00.csv,2,100,750,1037,287,734,1068,1480,589,0,,1,-1,tcp1,50
A_dof2_v500_F500_n02.csv,2,500,500,3613,3113,551,341,1462,573,1,,2,-3,tcp1,50
A_dof2_v50_F750_n00.csv,2,50,750,865,115,713,2064,1479,597,0,,1,-1,tcp1,50
A_dof2_v1000_F1000_n02.csv,2,1000,1000,3520,2520,215,238,1448,582,1,,2,-3,tcp1,50
A_dof2_v25_F500_n01.csv,2,25,500,610,110,525,3897,1484,581,0,,2,-3,tcp1,50
A_dof2_v100_F250_n02.csv,2,100,250,811,561,463,1024,1487,564,0,,1,-5,tcp1,50
A_dof2_v100_F750_n04.csv,2,100,750,974,224,815,1089,1480,582,0,,2,-5,tcp1,50
A_dof2_v750_F750_n02.csv,2,750,750,2831,2081,99,284,1508,566,1,,2,21,tcp1,50
A_dof2_v1000_F100_n01.csv,2,1000,100,3570,3470,258,244,1459,596,1,,2,1,tcp1,50
A_dof2_v750_F250_n04.csv,2,750,250,3017,2767,128,247,1448,625,1,,2,1,tcp1,50
A_dof2_v50_F250_n00.csv,2,50,250,391,141,323,1985,1487,582,0,,1,-1,tcp1,50
A_dof2_v50_F100_n03.csv,2,50,100,138,38,98,1818,1486,576,0,,1,-2,tcp1,50
A_dof2_v1000_F500_n00.csv,2,1000,500,3510,3010,234,249,1461,541,1,,3,-2,tcp1,50
A_dof2_v500_F750_n02.csv,2,500,750,3418,2668,333,331,1466,567,1,,3,-1,tcp1,50
A_dof2_v50_F1000_n03.csv,2,50,1000,1363,363,1042,2138,1484,599,0,,2,-1,tcp1,50
A_dof2_v25_F750_n01.csv,2,25,750,828,78,740,4109,1485,580,0,,2,-2,tcp1,52
A_dof2_v250_F250_n03.csv,2,250,250,1978,1728,382,517,1468,584,0,,3,-2,tcp1,50
A_dof2_v100_F500_n02.csv,2,100,500,789,289,534,1024,1482,579,0,,2,-1,tcp1,50
A_dof2_v250_F500_n00.csv,2,250,500,1129,629,414,488,1468,582,0,,2,-2,tcp1,50
A_dof2_v750_F100_n01.csv,2,750,100,3285,3185,177,248,1459,530,1,,3,-2,tcp1,50
A_dof2_v25_F100_n00.csv,2,25,100,126,26,112,3585,1486,577,0,,1,-1,tcp1,50
A_dof2_v500_F100_n02.csv,2,500,100,1841,1741,258,311,1460,560,0,,2,-2,tcp1,50
