index,dt_ms,ok
330,12.622460,1
331,10.439096,1
332,6.188403,1
333,14.749668,1
334,10.483369,1
335,7.329966,1
336,12.632513,1
337,11.514865,1
338,6.119883,1
339,13.738397,1
340,10.424473,1
341,6.269171,1
342,13.680384,1
343,11.623440,1
344,6.129345,1
345,13.765928,1
346,10.460305,1
347,6.231696,1
348,13.658932,1
349,11.597837,1
350,7.266489,1
351,12.610365,1
352,10.459669,1
353,6.146345,1
354,14.791017,1
355,10.445737,1
356,7.341605,1
357,12.626735,1
358,11.596104,1
359,6.110362,1
360,13.746637,1
361,10.423901,1
362,7.298553,1
363,12.595324,1
364,11.612744,1
365,6.193361,1
366,13.717107,1
367,10.463664,1
368,6.247796,1
369,13.727326,1
370,11.625970,1
371,6.135319,1
372,13.675387,1
373,10.493462,1
374,6.212085,1
375,13.723491,1
376,11.548160,1
377,7.264758,1
378,12.639922,1
379,10.515340,1
380,6.141896,1
381,13.825967,1
382,11.542498,1
383,7.348382,1
384,12.475577,1
385,10.562955,1
386,6.105321,1
387,13.785867,1
388,11.512728,1
389,7.317573,1
390,12.599421,1
391,11.528486,1
392,6.228725,1
393,13.761014,1
394,10.482383,1
395,7.224607,1
396,12.653300,1
397,11.593184,1
398,6.221937,1
399,13.690142,1
400,11.714522,1
401,6.591584,1
402,12.021782,1
403,11.750262,1
404,6.268877,1
405,13.658161,1
406,10.475404,1
407,7.289120,1
408,12.649708,1
409,12.660909,1
410,6.212421,1
411,12.633499,1
412,10.501352,1
413,7.208442,1
414,12.746867,1
415,11.495930,1
416,6.160993,1
417,13.593825,1
418,11.666779,1
419,7.185108,1
420,11.715836,1
421,10.971097,1
422,7.501805,1
423,12.736271,1
424,11.576887,1
425,6.208837,1
426,13.908044,1
427,11.809014,1
428,6.145773,1
429,12.600552,1
430,11.634255,1
431,7.159324,1
432,11.942753,1
433,12.042565,1
434,7.392380,1
435,11.610923,1
436,11.567199,1
437,6.466022,1
438,13.096451,1
439,11.878013,1
440,7.240320,1
441,11.602025,1
442,11.478813,1
443,6.286885,1
444,13.672724,1
445,11.556724,1
446,7.244287,1
447,11.586134,1
448,11.585414,1
449,6.476407,1
450,13.213501,1
451,11.817551,1
452,7.228250,1
453,12.585488,1
454,11.527220,1
455,6.178607,1
456,13.700716,1
457,10.512034,1
458,7.613895,1
459,13.009044,1
460,10.885509,1
461,6.317385,1
462,13.080145,1
463,10.756927,1
464,6.341859,1
465,13.559823,1
466,11.531303,1
467,7.283940,1
468,12.595459,1
469,11.511132,1
470,6.176128,1
471,13.725361,1
472,10.446151,1
473,6.137895,1
474,13.722649,1
475,11.563761,1
476,7.227079,1
477,12.617425,1
478,10.435142,1
479,6.133452,1
480,13.725146,1
481,11.631377,1
482,7.343065,1
483,12.733695,1
484,10.516386,1
485,6.212604,1
486,13.721536,1
487,11.567369,1
488,6.250300,1
489,13.721946,1
490,10.449694,1
491,6.141603,1
492,13.759920,1
493,11.627573,1
494,7.268914,1
495,12.632224,1
496,10.753698,1
497,7.763463,1
498,12.050772,1
499,11.902389,1
500,6.353597,1
501,12.725803,1
502,11.521807,1
503,7.292085,1
504,12.680290,1
505,10.466462,1
506,6.101109,1
507,13.732071,1
508,11.548310,1
509,7.369291,1
510,12.523676,1
511,10.532187,1
512,6.159646,1
513,13.790238,1
514,11.522855,1
515,7.293169,1
516,12.688935,1
517,10.594323,1
518,6.161170,1
519,13.799615,1
520,11.620046,1
521,6.283490,1
522,13.731436,1
523,10.502149,1
524,6.157359,1
525,13.703116,1
526,11.543846,1
527,6.305565,1
528,13.629898,1
529,10.567488,1
530,6.149565,1
531,13.649203,1
532,11.519654,1
533,7.310878,1
534,12.657481,1
535,11.630510,1
536,6.170380,1
537,12.644433,1
538,11.527242,1
539,7.317639,1
540,12.622786,1
541,11.504775,1
542,6.483627,1
543,12.987148,1
544,11.731393,1
545,6.191504,1
546,12.724229,1
547,11.507382,1
548,7.286167,1
549,12.664292,1
550,10.510934,1
551,6.201485,1
552,13.787709,1
553,12.596002,1
554,6.203483,1
555,12.558221,1
556,10.419492,1
557,6.238953,1
558,13.896112,1
559,12.049967,1
560,6.487082,1
561,13.065550,1
562,11.930978,1
563,7.231188,1
564,11.655275,1
565,10.483964,1
566,6.292952,1
567,13.634126,1
568,6.301588,1
569,6.212349,1
570,7.160950,1
571,11.563467,1
572,12.620703,1
573,6.209251,1
574,12.602078,1
575,11.566525,1
576,6.236611,1
577,12.542205,1
578,6.217460,1
579,6.256617,1
580,7.182101,1
581,11.597963,1
582,12.545250,1
583,6.179164,1
584,12.621732,1
585,11.536545,1
586,6.208711,1
587,12.608982,1
588,6.296314,1
589,7.298350,1
590,6.206975,1
591,12.701660,1
592,10.426876,1
593,6.232115,1
594,13.723741,1
595,11.620132,1
596,7.200078,1
597,12.678197,1
598,10.412531,1
599,6.212468,1
600,13.688819,1
601,11.567814,1
602,7.241408,1
603,12.567003,1
604,11.583168,1
605,6.129407,1
606,13.752478,1
607,10.451155,1
608,6.247409,1
609,13.669642,1
610,11.626925,1
611,6.110814,1
612,13.763698,1
613,10.458829,1
614,6.196584,1
615,13.731526,1
616,11.638214,1
617,7.210949,1
618,12.678313,1
619,10.476493,1
620,6.167627,1
621,13.733683,1
622,11.526204,1
623,7.270528,1
624,12.672582,1
625,10.434043,1
626,6.095930,1
627,14.801912,1
628,10.438684,1
629,7.372541,1
630,12.653430,1
631,10.581685,1
632,6.136386,1
633,14.834869,1
634,10.446576,1
635,7.369297,1
636,12.617871,1
637,10.547356,1
638,6.147491,1
639,14.779112,1
640,10.374615,1
641,6.166073,1
642,14.065160,1
643,10.779942,1
644,6.280457,1
645,13.746829,1
646,10.507254,1
647,6.222779,1
648,14.833958,1
649,10.512448,1
650,7.299861,1
651,12.530767,1
652,10.498900,1
653,6.203365,1
654,14.706904,1
655,10.436983,1
656,6.145076,1
657,13.761348,1
658,11.517032,1
659,6.252563,1
660,13.677747,1
661,10.577556,1
662,6.120553,1
663,13.683559,1
664,11.486325,1
665,7.290769,1
666,12.561591,1
667,11.549660,1
668,6.189543,1
669,13.713564,1
670,10.781311,1
671,7.441130,1
672,12.858369,1
673,11.511802,1
674,7.261314,1
675,11.622544,1
676,11.555412,1
677,6.233646,1
678,13.628219,1
679,10.562031,1
680,7.190980,1
681,12.695681,1
682,12.638817,1
683,6.251470,1
684,12.638585,1
685,10.583361,1
686,7.238729,1
687,12.715949,1
688,11.551927,1
689,6.236218,1
690,13.694264,1
691,11.582031,1
692,7.215686,1
693,11.618345,1
694,11.586552,1
695,6.306684,1
696,13.701393,1
697,10.500410,1
698,7.264778,1
699,12.676910,1
700,11.545020,1
701,6.252701,1
702,13.653609,1
703,10.596956,1
704,7.184453,1
705,12.630498,1
706,11.553792,1
707,6.590417,1
708,13.081097,1
709,11.960643,1
