index,dt_ms,ok
328,0.574558,1
329,0.661430,1
330,0.609525,1
331,0.628898,1
332,0.588605,1
333,0.593244,1
334,9.776257,1
335,0.871078,1
336,0.922408,1
337,0.960005,1
338,0.576928,1
339,0.641323,1
340,0.604784,1
341,0.580692,1
342,5.969033,1
343,0.947311,1
344,0.936193,1
345,0.625592,1
346,0.615887,1
347,0.625546,1
348,0.594232,1
349,0.637002,1
350,0.615341,1
351,0.614678,1
352,0.717747,1
353,0.864597,1
354,0.604792,1
355,0.613342,1
356,0.643255,1
357,0.622372,1
358,9.618573,1
359,0.588609,1
360,0.603108,1
361,0.592848,1
362,0.628817,1
363,0.620869,1
364,0.607419,1
365,0.595876,1
366,0.629971,1
367,0.607815,1
368,6.014984,1
369,0.637490,1
370,0.640795,1
371,0.640442,1
372,0.661978,1
373,0.598545,1
374,0.647891,1
375,0.607993,1
376,0.616793,1
377,0.948009,1
378,0.625337,1
379,0.665691,1
380,0.621764,1
381,0.630868,1
382,0.937463,1
383,9.792971,1
384,0.611853,1
385,0.616903,1
386,0.612832,1
387,0.912302,1
388,0.600953,1
389,0.623053,1
390,0.765723,1
391,0.874093,1
392,5.594104,1
393,0.590616,1
394,0.597791,1
395,0.616373,1
396,0.615040,1
397,0.612102,1
398,0.612720,1
399,0.710338,1
400,0.839840,1
401,0.644082,1
402,0.603361,1
403,0.750482,1
404,0.897392,1
405,0.920613,1
406,0.596391,1
407,0.721149,1
408,9.508814,1
409,0.882918,1
410,0.609809,1
411,0.621009,1
412,0.612114,1
413,0.591978,1
414,0.626667,1
415,0.628714,1
416,0.625571,1
417,5.964244,1
418,0.848704,1
419,0.600716,1
420,0.619125,1
421,0.601797,1
422,0.607159,1
423,0.618589,1
424,0.597458,1
425,0.625172,1
426,0.628946,1
427,0.607609,1
428,0.604580,1
429,0.643928,1
430,0.605280,1
431,0.604451,1
432,0.625249,1
433,0.620865,1
434,9.781769,1
435,0.896953,1
436,0.612487,1
437,0.612523,1
438,0.677865,1
439,0.618062,1
440,0.600256,1
441,0.920635,1
442,0.609239,1
443,6.076809,1
444,0.896527,1
445,0.605590,1
446,0.622441,1
447,0.615304,1
448,0.603281,1
449,0.610471,1
450,0.633624,1
451,0.592664,1
452,0.612651,1
453,0.619304,1
454,0.612884,1
455,0.576632,1
456,0.637033,1
457,0.627011,1
458,0.589087,1
459,9.890429,1
460,0.800513,1
461,0.621889,1
462,0.626083,1
463,0.590299,1
464,0.612576,1
465,0.618768,1
466,0.599867,1
467,0.612551,1
468,5.930350,1
469,0.622039,1
470,0.615790,1
471,0.579879,1
472,0.616501,1
473,0.634435,1
474,0.594239,1
475,0.629305,1
476,0.606864,1
477,0.604198,1
478,0.615583,1
479,0.632606,1
480,0.602744,1
481,0.615014,1
482,0.632678,1
483,0.601661,1
484,0.611524,1
485,0.593508,1
486,9.625318,1
487,0.559599,1
488,0.604153,1
489,0.595400,1
490,0.618568,1
491,0.629408,1
492,0.609405,1
493,0.635476,1
494,0.578972,1
495,0.623002,1
496,5.739549,1
497,0.561586,1
498,0.631251,1
499,0.626135,1
500,0.623147,1
501,0.685272,1
502,0.564209,1
503,0.619541,1
504,0.643715,1
505,0.604790,1
506,0.626265,1
507,0.584700,1
508,0.621428,1
509,0.617646,1
510,0.633472,1
511,0.608144,1
512,0.630743,1
513,9.769778,1
514,0.608916,1
515,0.602434,1
516,0.612288,1
517,0.608042,1
518,0.625289,1
519,0.589683,1
520,0.647480,1
521,0.597966,1
522,0.620656,1
523,6.017333,1
524,0.624719,1
525,0.642806,1
526,0.624676,1
527,0.628834,1
528,0.626814,1
529,0.636095,1
530,0.629472,1
531,0.637774,1
532,0.628055,1
533,0.616780,1
534,0.639890,1
535,0.613306,1
536,0.635828,1
