trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g
A_dof4_v500_F750_n02.csv,4,500,750,1927,1177,934,402,690,79,0,5:0,127,21
A_dof4_v50_F1000_n03.csv,4,50,1000,1042,42,922,2865,812,78,0,5:0,107,21
A_dof4_v25_F750_n01.csv,4,25,750,773,23,686,5363,810,79,0,5:0,99,21
A_dof4_v250_F250_n03.csv,4,250,250,521,271,309,552,788,80,0,5:0,80,21
A_dof4_v100_F500_n02.csv,4,100,500,576,76,456,1283,804,78,0,5:0,87,19
A_dof4_v250_F500_n00.csv,4,250,500,778,278,459,581,764,78,0,5:0,98,19
A_dof4_v750_F100_n01.csv,4,750,100,1325,1225,324,312,719,79,0,5:0,108,19
A_dof4_v25_F100_n00.csv,4,25,100,112,12,92,4291,808,78,0,5:0,20,19
A_dof4_v500_F100_n02.csv,4,500,100,826,726,298,373,689,78,0,5:0,99,19
A_dof4_v25_F1000_n03.csv,4,25,1000,1031,31,923,5655,815,78,0,5:0,115,19
A_dof4_v25_F100_n03.csv,4,25,100,113,13,93,4332,813,78,0,5:0,20,18
A_dof4_v25_F750_n00.csv,4,25,750,775,25,698,5322,810,78,0,5:0,102,17
A_dof4_v1000_F1000_n01.csv,4,1000,1000,2403,1403,432,340,725,75,1,5:0,140,17
A_dof4_v750_F250_n03.csv,4,750,250,1232,982,286,339,719,78,0,5:0,101,19
A_dof4_v500_F500_n03.csv,4,500,500,1442,942,688,385,641,78,0,5:0,108,35
A_dof4_v1000_F750_n01.csv,4,1000,750,2261,1511,403,301,797,78,1,5:0,144,20
A_dof4_v750_F750_n01.csv,4,750,750,1846,1096,816,308,783,78,0,5:0,123,22
A_dof4_v100_F100_n02.csv,4,100,100,148,48,99,1115,807,78,0,5:0,28,21
A_dof4_v250_F250_n00.csv,4,250,250,555,305,328,577,771,78,0,5:0,68,20
A_dof4_v500_F500_n01.csv,4,500,500,1404,904,698,371,695,78,0,5:0,111,20
A_dof4_v250_F750_n00.csv,4,250,750,1267,517,884,651,775,78,0,5:0,112,22
A_dof4_v1000_F100_n02.csv,4,1000,100,946,846,65,274,817,80,0,5:0,99,20
A_dof4_v750_F750_n03.csv,4,750,750,1756,1006,859,341,718,78,0,5:0,123,21
A_dof4_v500_F1000_n00.csv,4,500,1000,2072,1072,1178,416,691,78,0,5:0,131,19
A_dof4_v250_F250_n04.csv,4,250,250,518,268,304,552,788,79,0,5:0,77,21
A_dof4_v25_F750_n03.csv,4,25,750,779,29,676,5387,815,78,0,5:0,99,20
A_dof4_v50_F100_n00.csv,4,50,100,147,47,122,2213,810,78,0,5:0,27,20
A_dof4_v250_F100_n04.csv,4,250,100,328,228,139,539,767,79,0,5:0,59,19
A_dof4_v50_F500_n02.csv,4,50,500,548,48,478,2511,815,77,0,5:0,83,20
A_dof4_v1000_F100_n04.csv,4,1000,100,1497,1397,422,303,792,78,0,5:0,115,20
A_dof4_v750_F500_n01.csv,4,750,500,1938,1438,861,355,723,78,0,5:0,129,20
A_dof4_v100_F500_n04.csv,4,100,500,640,140,503,1302,810,78,0,5:0,87,20
A_dof4_v25_F1000_n04.csv,4,25,1000,1036,36,958,5672,806,78,0,5:0,112,21
A_dof4_v1000_F500_n01.csv,4,1000,500,1535,1035,444,305,796,78,0,5:0,122,21
A_dof4_v100_F1000_n02.csv,4,100,1000,1137,137,918,1481,811,78,0,5:0,111,35
A_dof4_v50_F500_n00.csv,4,50,500,563,63,490,2511,812,78,0,5:0,87,22
A_dof4_v750_F100_n04.csv,4,750,100,1092,992,198,301,780,78,0,5:0,105,21
A_dof4_v100_F250_n00.csv,4,100,250,385,135,320,1251,800,79,0,5:0,69,21
A_dof4_v750_F1000_n04.csv,4,750,1000,2072,1072,902,334,797,78,0,5:0,134,20
A_dof4_v250_F750_n01.csv,4,250,750,1261,511,869,651,813,78,0,5:0,110,22
A_dof4_v500_F1000_n02.csv,4,500,1000,1993,993,1063,396,730,78,0,5:0,137,22
A_dof4_v250_F100_n02.csv,4,250,100,327,227,139,550,774,78,0,5:0,61,22
A_dof4_v500_F100_n03.csv,4,500,100,455,355,74,340,729,79,0,5:0,71,22
A_dof4_v500_F1000_n04.csv,4,500,1000,1891,891,1085,403,856,78,0,5:0,136,20
A_dof4_v750_F250_n00.csv,4,750,250,1214,964,236,335,719,78,0,5:0,109,23
A_dof4_v100_F750_n01.csv,4,100,750,941,191,721,1394,805,79,0,5:0,107,22
A_dof4_v25_F500_n00.csv,4,25,500,527,27,489,5065,815,78,0,5:0,83,21
A_dof4_v500_F250_n02.csv,4,500,250,1033,783,388,353,736,79,0,5:0,82,19
A_dof4_v250_F1000_n03.csv,4,250,1000,1285,285,870,646,793,78,0,5:0,120,20
